Symbol	LogFC	Type
ENSG00000105443	0.59064867	Gene
ENSG00000101336	1.298468605	Gene
ENSG00000079999	0.457333532	Gene
ENSG00000133243	0.794398549	Gene
ENSG00000172081	0.783245382	Gene
ENSG00000134285	0.76684221	Gene
ENSG00000105737	0.970319082	Gene
ENSG00000130175	1.107013743	Gene
ENSG00000196361	0.418489463	Gene
ENSG00000104870	1.066994562	Gene
ENSG00000196235	0.460767712	Gene
ENSG00000106113	1.173195675	Gene
ENSG00000100075	0.837273627	Gene
ENSG00000204580	1.164646202	Gene
ENSG00000137171	0.585806461	Gene
ENSG00000105662	1.310117419	Gene
ENSG00000047457	1.950367357	Gene
ENSG00000117676	1.079141421	Gene
ENSG00000123815	0.909976208	Gene
ENSG00000086015	0.745094001	Gene
ENSG00000104812	1.089942358	Gene
ENSG00000168610	0.697014717	Gene
ENSG00000126561	0.92922364	Gene
ENSG00000177469	0.715383589	Gene
ENSG00000173327	1.270511575	Gene
ENSG00000105221	1.062977798	Gene
ENSG00000148408	0.480654807	Gene
ENSG00000111676	1.224555012	Gene
ENSG00000111679	0.900662413	Gene
ENSG00000124440	1.56661108	Gene
ENSG00000033327	0.478154348	Gene
ENSG00000165801	0.645245568	Gene
ENSG00000032444	0.975146842	Gene
ENSG00000090674	0.943008793	Gene
ENSG00000104880	0.855480411	Gene
ENSG00000105383	0.83544242	Gene
ENSG00000105379	0.641588006	Gene
ENSG00000076944	1.77371081	Gene
ENSG00000106069	0.590405178	Gene
ENSG00000240583	1.725110155	Gene
ENSG00000064666	1.93739422	Gene
ENSG00000099331	1.200739604	Gene
ENSG00000119630	1.134415134	Gene
ENSG00000106397	1.372530969	Gene
ENSG00000132702	1.348940159	Gene
ENSG00000143303	0.89106114	Gene
ENSG00000011132	1.375423299	Gene
ENSG00000105229	0.863941196	Gene
ENSG00000104969	0.604284881	Gene
ENSG00000091073	1.266678547	Gene
ENSG00000106211	2.00048309	Gene
ENSG00000037757	0.910686601	Gene
ENSG00000181523	1.156848207	Gene
ENSG00000116254	0.446831081	Gene
ENSG00000160213	0.926269546	Gene
ENSG00000026508	1.555079153	Gene
ENSG00000109667	0.797706473	Gene
ENSG00000104419	1.107380538	Gene
ENSG00000104774	1.258641231	Gene
ENSG00000009950	1.784738437	Gene
ENSG00000100297	1.069413146	Gene
ENSG00000100292	1.941278829	Gene
ENSG00000079432	1.374688547	Gene
ENSG00000123136	0.700661307	Gene
ENSG00000132002	0.672393653	Gene
ENSG00000140443	0.713440534	Gene
ENSG00000171105	0.521815001	Gene
ENSG00000162104	0.488021358	Gene
ENSG00000072952	0.748259011	Gene
ENSG00000166716	0.664449386	Gene
ENSG00000135473	0.696977569	Gene
ENSG00000133805	0.541678871	Gene
ENSG00000090447	1.025085917	Gene
ENSG00000136699	1.000830387	Gene
ENSG00000196689	0.978521689	Gene
ENSG00000213918	0.58511584	Gene
ENSG00000122390	0.483769271	Gene
ENSG00000134815	0.991181836	Gene
ENSG00000116809	0.693427843	Gene
ENSG00000162458	1.38664863	Gene
ENSG00000187266	1.179910994	Gene
ENSG00000183401	0.788413622	Gene
ENSG00000127527	0.63594495	Gene
ENSG00000129566	0.733907494	Gene
ENSG00000135926	1.197800546	Gene
ENSG00000272333	1.301491459	Gene
ENSG00000099998	2.29471608	Gene
ENSG00000129993	1.036958438	Gene
ENSG00000077942	1.2069051	Gene
ENSG00000158859	0.990576238	Gene
ENSG00000142627	1.757661558	Gene
ENSG00000239306	0.949842937	Gene
ENSG00000152256	0.579797378	Gene
ENSG00000011304	0.973014947	Gene
ENSG00000051523	1.952551089	Gene
ENSG00000213533	1.098551211	Gene
ENSG00000123191	0.689544753	Gene
ENSG00000138074	1.088432691	Gene
ENSG00000105290	0.733787773	Gene
ENSG00000160199	0.548884872	Gene
ENSG00000173786	0.904049268	Gene
ENSG00000113119	0.847644459	Gene
ENSG00000173805	0.989554495	Gene
ENSG00000204394	0.645986695	Gene
ENSG00000204396	1.108048104	Gene
ENSG00000204427	0.887268749	Gene
ENSG00000213719	0.854001458	Gene
ENSG00000177084	0.875877368	Gene
ENSG00000136802	0.733439149	Gene
ENSG00000106799	0.583893387	Gene
ENSG00000171552	0.566972386	Gene
ENSG00000088247	0.454955835	Gene
ENSG00000108175	0.810451197	Gene
ENSG00000117318	1.365443806	Gene
ENSG00000117713	0.750807464	Gene
ENSG00000117984	1.148056463	Gene
ENSG00000250644	1.015768008	Gene
ENSG00000137818	0.806487095	Gene
ENSG00000165175	0.72520796	Gene
ENSG00000127418	1.100859841	Gene
ENSG00000161671	0.638825458	Gene
ENSG00000090661	0.590032821	Gene
ENSG00000054967	1.167668467	Gene
ENSG00000153048	0.775976935	Gene
ENSG00000160439	0.738321418	Gene
ENSG00000028277	1.137729757	Gene
ENSG00000167191	0.624302735	Gene
ENSG00000177575	2.131887218	Gene
ENSG00000108840	0.807733116	Gene
ENSG00000198792	1.199979491	Gene
ENSG00000100280	0.548678237	Gene
ENSG00000160298	1.744116194	Gene
ENSG00000106538	0.922881389	Gene
ENSG00000183255	0.69420686	Gene
ENSG00000142185	1.445744484	Gene
ENSG00000184787	0.811905064	Gene
ENSG00000134369	0.485786767	Gene
ENSG00000053918	1.035121614	Gene
ENSG00000136807	0.680873265	Gene
ENSG00000136877	0.727905238	Gene
ENSG00000178028	0.579869523	Gene
ENSG00000089327	0.833472045	Gene
ENSG00000102057	1.28123165	Gene
ENSG00000184271	0.545943419	Gene
ENSG00000102125	0.907618221	Gene
ENSG00000196169	2.230460068	Gene
ENSG00000068001	1.288898005	Gene
ENSG00000214706	0.996050398	Gene
ENSG00000114378	1.192400654	Gene
ENSG00000188338	0.8097977	Gene
ENSG00000068028	0.959933133	Gene
ENSG00000168003	0.599093987	Gene
ENSG00000162231	0.544552166	Gene
ENSG00000204991	0.774275204	Gene
ENSG00000161847	1.032849622	Gene
ENSG00000196132	0.493874182	Gene
ENSG00000187091	1.197212419	Gene
ENSG00000120889	0.765972683	Gene
ENSG00000173530	1.206946794	Gene
ENSG00000204673	1.077068555	Gene
ENSG00000185100	1.137204537	Gene
ENSG00000185024	0.599864361	Gene
ENSG00000106018	0.811055839	Gene
ENSG00000214456	1.095000102	Gene
ENSG00000010361	1.044893222	Gene
ENSG00000160460	0.898676081	Gene
ENSG00000142459	0.623658464	Gene
ENSG00000244486	1.708053457	Gene
ENSG00000099917	1.016192966	Gene
ENSG00000137221	1.466551061	Gene
ENSG00000127954	1.973462571	Gene
ENSG00000168404	0.968169225	Gene
ENSG00000107736	0.877066539	Gene
ENSG00000072071	0.776866961	Gene
ENSG00000124074	1.121114874	Gene
ENSG00000133065	0.403379036	Gene
ENSG00000127419	0.931515812	Gene
ENSG00000084774	0.933126207	Gene
ENSG00000163154	0.97361497	Gene
ENSG00000204371	0.54365895	Gene
ENSG00000175221	0.897243007	Gene
ENSG00000182087	0.876291626	Gene
ENSG00000141956	0.68308591	Gene
ENSG00000126603	1.21368308	Gene
ENSG00000103335	1.297445468	Gene
ENSG00000139645	0.861678724	Gene
ENSG00000139668	0.404174917	Gene
ENSG00000184371	1.304676194	Gene
ENSG00000130294	0.679167225	Gene
ENSG00000072609	0.738494383	Gene
ENSG00000144043	0.748787606	Gene
ENSG00000198719	1.055916152	Gene
ENSG00000140939	0.957760968	Gene
ENSG00000196155	1.424404383	Gene
ENSG00000160323	1.363963548	Gene
ENSG00000176715	0.68233956	Gene
ENSG00000141012	0.914390855	Gene
ENSG00000179348	1.088467797	Gene
ENSG00000054179	1.28590042	Gene
ENSG00000107317	1.861562944	Gene
ENSG00000059145	0.776207884	Gene
ENSG00000068903	0.842015526	Gene
ENSG00000104824	0.447608692	Gene
ENSG00000153721	0.535934346	Gene
ENSG00000099860	1.049939777	Gene
ENSG00000167136	1.16247551	Gene
ENSG00000170638	1.422648135	Gene
ENSG00000244731	1.783187453	Gene
ENSG00000224389	2.8697805	Gene
ENSG00000204305	1.445105194	Gene
ENSG00000213676	0.949683261	Gene
ENSG00000204301	1.187664398	Gene
ENSG00000204314	1.208878961	Gene
ENSG00000146216	0.816446158	Gene
ENSG00000130702	2.27381029	Gene
ENSG00000143418	0.689170338	Gene
ENSG00000148297	0.845456643	Gene
ENSG00000151552	0.806439813	Gene
ENSG00000186350	0.748437311	Gene
ENSG00000143382	2.417853145	Gene
ENSG00000274070	0.950230854	Gene
ENSG00000150337	1.999625554	Gene
ENSG00000198019	1.056341245	Gene
ENSG00000158517	1.31553008	Gene
ENSG00000101160	0.663573151	Gene
ENSG00000125534	0.92131911	Gene
ENSG00000203710	1.307284008	Gene
ENSG00000162889	0.614756904	Gene
ENSG00000100350	0.493852082	Gene
ENSG00000056487	0.811982162	Gene
ENSG00000100304	1.068304605	Gene
ENSG00000124181	0.551786766	Gene
ENSG00000108852	0.68265954	Gene
ENSG00000076604	1.089343011	Gene
ENSG00000141750	1.22890767	Gene
ENSG00000173918	1.567781338	Gene
ENSG00000158545	0.675914623	Gene
ENSG00000141753	1.326353351	Gene
ENSG00000101017	0.902669447	Gene
ENSG00000080189	0.73870596	Gene
ENSG00000141314	0.75310226	Gene
ENSG00000196839	1.625994872	Gene
ENSG00000087157	0.694425145	Gene
ENSG00000183077	0.794620557	Gene
ENSG00000124251	0.986341955	Gene
ENSG00000124155	0.70789712	Gene
ENSG00000244274	0.818624123	Gene
ENSG00000100979	0.95442717	Gene
ENSG00000113504	1.365608718	Gene
ENSG00000064601	0.720490457	Gene
ENSG00000124067	0.899133245	Gene
ENSG00000197879	1.044951932	Gene
ENSG00000168256	0.636495933	Gene
ENSG00000101049	0.745581709	Gene
ENSG00000100243	1.101134081	Gene
ENSG00000065361	0.785970139	Gene
ENSG00000131748	0.880395459	Gene
ENSG00000100060	1.846340623	Gene
ENSG00000141068	0.96816468	Gene
ENSG00000211445	1.776224583	Gene
ENSG00000108798	1.909178305	Gene
ENSG00000164403	1.442576166	Gene
ENSG00000278619	0.811101789	Gene
ENSG00000186868	0.431745394	Gene
ENSG00000120071	0.671756962	Gene
ENSG00000158296	0.898591415	Gene
ENSG00000170049	0.906470671	Gene
ENSG00000132510	1.705142679	Gene
ENSG00000277258	1.01253003	Gene
ENSG00000072778	0.539779371	Gene
ENSG00000177427	0.773659924	Gene
ENSG00000013306	1.172294968	Gene
ENSG00000167182	0.704335656	Gene
ENSG00000174282	0.52811639	Gene
ENSG00000130592	1.517432722	Gene
ENSG00000119986	0.876388968	Gene
ENSG00000133392	1.083765411	Gene
ENSG00000125347	0.834449262	Gene
ENSG00000197375	0.575819134	Gene
ENSG00000072682	0.602817722	Gene
ENSG00000161921	1.009748971	Gene
ENSG00000141456	0.561193395	Gene
ENSG00000274180	1.166678082	Gene
ENSG00000114841	0.915834935	Gene
ENSG00000083444	1.038575186	Gene
ENSG00000105655	1.133384557	Gene
ENSG00000101294	0.658723918	Gene
ENSG00000127586	1.015825526	Gene
ENSG00000130479	1.160533102	Gene
ENSG00000108786	1.553232307	Gene
ENSG00000143373	0.795093559	Gene
ENSG00000130055	0.788783456	Gene
ENSG00000198563	0.88389745	Gene
ENSG00000076924	0.668638824	Gene
ENSG00000125733	1.189675975	Gene
ENSG00000142552	1.266699727	Gene
ENSG00000130821	1.283494508	Gene
ENSG00000116017	0.833130691	Gene
ENSG00000004799	1.17679734	Gene
ENSG00000092421	0.481951376	Gene
ENSG00000135596	1.055560722	Gene
ENSG00000112394	1.067899274	Gene
ENSG00000112297	1.612216101	Gene
ENSG00000118515	0.801978384	Gene
ENSG00000111783	0.472653375	Gene
ENSG00000156521	0.895805201	Gene
ENSG00000107719	0.831564328	Gene
ENSG00000107731	1.23709075	Gene
ENSG00000198246	0.865255459	Gene
ENSG00000107738	1.509102667	Gene
ENSG00000168209	1.107653875	Gene
ENSG00000115257	1.165239968	Gene
ENSG00000115266	1.256296274	Gene
ENSG00000115286	1.098332577	Gene
ENSG00000071564	0.822723395	Gene
ENSG00000127325	0.885841117	Gene
ENSG00000106078	0.40833452	Gene
ENSG00000099875	1.298959663	Gene
ENSG00000099991	0.62212706	Gene
ENSG00000104897	1.180519442	Gene
ENSG00000160310	0.485231969	Gene
ENSG00000160305	0.921378271	Gene
ENSG00000064961	1.004444163	Gene
ENSG00000105325	0.934606783	Gene
ENSG00000142173	1.688050794	Gene
ENSG00000168237	1.080333574	Gene
ENSG00000186866	1.257240627	Gene
ENSG00000197381	0.724533987	Gene
ENSG00000141959	1.146352537	Gene
ENSG00000007384	1.479145055	Gene
ENSG00000160226	1.168778708	Gene
ENSG00000103148	1.370323845	Gene
ENSG00000113739	2.024002739	Gene
ENSG00000129946	1.021516341	Gene
ENSG00000070404	1.128095494	Gene
ENSG00000099822	0.87639607	Gene
ENSG00000131446	0.967816801	Gene
ENSG00000037280	1.425125992	Gene
ENSG00000175309	0.880328801	Gene
ENSG00000131459	0.582411769	Gene
ENSG00000043143	0.617052238	Gene
ENSG00000131435	1.503333393	Gene
ENSG00000183762	0.764732132	Gene
ENSG00000135077	0.638573944	Gene
ENSG00000145901	0.449458008	Gene
ENSG00000183696	0.487393945	Gene
ENSG00000100325	0.806026091	Gene
ENSG00000184792	0.628121565	Gene
ENSG00000136286	3.678790418	Gene
ENSG00000183963	1.635212585	Gene
ENSG00000182541	1.134733006	Gene
ENSG00000100105	0.610431135	Gene
ENSG00000162714	0.525593834	Gene
ENSG00000106624	1.693351673	Gene
ENSG00000122678	1.116117917	Gene
ENSG00000108387	0.396604825	Gene
ENSG00000164574	0.537721232	Gene
ENSG00000278259	0.84799067	Gene
ENSG00000176974	0.76520695	Gene
ENSG00000131899	1.049657214	Gene
ENSG00000072310	1.105531134	Gene
ENSG00000141052	1.31538789	Gene
ENSG00000169006	1.043883251	Gene
ENSG00000118960	0.609816338	Gene
ENSG00000108950	0.997643352	Gene
ENSG00000171853	0.620505057	Gene
ENSG00000138031	0.645697044	Gene
ENSG00000119772	0.670894393	Gene
ENSG00000159640	0.885715757	Gene
ENSG00000259207	1.255887068	Gene
ENSG00000011028	0.938899566	Gene
ENSG00000092871	0.497098639	Gene
ENSG00000198909	0.62890937	Gene
ENSG00000181291	1.165106497	Gene
ENSG00000178607	0.714266002	Gene
ENSG00000261371	1.09505039	Gene
ENSG00000256525	0.567078197	Gene
ENSG00000109062	0.828840339	Gene
ENSG00000161509	0.930460241	Gene
ENSG00000132361	0.741924607	Gene
ENSG00000177728	1.110942027	Gene
ENSG00000108469	0.83396929	Gene
ENSG00000132470	2.180069415	Gene
ENSG00000132478	0.870656631	Gene
ENSG00000132481	1.41457743	Gene
ENSG00000188878	0.796864721	Gene
ENSG00000182173	0.86562741	Gene
ENSG00000073350	1.642315	Gene
ENSG00000074370	1.21827367	Gene
ENSG00000185722	0.414096482	Gene
ENSG00000175931	0.541815873	Gene
ENSG00000129667	1.91753837	Gene
ENSG00000129250	0.649031345	Gene
ENSG00000129657	0.541680654	Gene
ENSG00000141503	0.54500978	Gene
ENSG00000129219	0.92156348	Gene
ENSG00000076351	0.767241317	Gene
ENSG00000167549	1.008727291	Gene
ENSG00000167693	1.044928107	Gene
ENSG00000174231	0.386102087	Gene
ENSG00000015532	0.776274076	Gene
ENSG00000141295	1.255891701	Gene
ENSG00000004975	1.184790666	Gene
ENSG00000126368	1.303665946	Gene
ENSG00000179094	1.27397623	Gene
ENSG00000178971	0.843217227	Gene
ENSG00000065320	1.279350829	Gene
ENSG00000108773	0.940957699	Gene
ENSG00000131095	1.040448434	Gene
ENSG00000172992	0.741654582	Gene
ENSG00000161714	1.179916801	Gene
ENSG00000006062	1.250376704	Gene
ENSG00000100902	0.708267353	Gene
ENSG00000100906	0.746680401	Gene
ENSG00000100504	0.881555133	Gene
ENSG00000196136	3.165262005	Gene
ENSG00000165959	0.674857609	Gene
ENSG00000185650	0.66741103	Gene
ENSG00000100626	0.772408083	Gene
ENSG00000100647	0.535159368	Gene
ENSG00000198732	0.529482541	Gene
ENSG00000179364	0.994202733	Gene
ENSG00000182979	0.679650915	Gene
ENSG00000100767	0.799606121	Gene
ENSG00000119688	1.04528165	Gene
ENSG00000119655	0.815454828	Gene
ENSG00000119699	0.775444337	Gene
ENSG00000071246	0.541787883	Gene
ENSG00000013523	0.584338046	Gene
ENSG00000196405	0.569192991	Gene
ENSG00000168350	1.345344768	Gene
ENSG00000197119	1.093211371	Gene
ENSG00000196663	0.51491445	Gene
ENSG00000185215	1.439681455	Gene
ENSG00000126215	1.024175302	Gene
ENSG00000183484	1.164993148	Gene
ENSG00000111859	0.557312198	Gene
ENSG00000168994	0.828626374	Gene
ENSG00000187764	0.745115269	Gene
ENSG00000169071	1.139826044	Gene
ENSG00000185920	0.479840356	Gene
ENSG00000213347	1.332076462	Gene
ENSG00000196923	1.38439596	Gene
ENSG00000146067	1.063509599	Gene
ENSG00000145506	1.022447419	Gene
ENSG00000171368	0.674690607	Gene
ENSG00000249915	0.58345997	Gene
ENSG00000164300	0.568665928	Gene
ENSG00000163635	0.731308765	Gene
ENSG00000168309	0.74334579	Gene
ENSG00000168306	0.877295789	Gene
ENSG00000151208	0.757090845	Gene
ENSG00000122367	0.871221173	Gene
ENSG00000148604	0.994761198	Gene
ENSG00000214655	0.888743739	Gene
ENSG00000125378	1.305424135	Gene
ENSG00000020577	0.39711716	Gene
ENSG00000140030	1.599884568	Gene
ENSG00000131386	0.85386462	Gene
ENSG00000010322	0.597360445	Gene
ENSG00000266524	0.776641227	Gene
ENSG00000150457	0.57318015	Gene
ENSG00000136167	0.887309841	Gene
ENSG00000120885	0.479422674	Gene
ENSG00000104689	1.226171694	Gene
ENSG00000008853	0.706444445	Gene
ENSG00000120913	1.306493897	Gene
ENSG00000120896	1.445271425	Gene
ENSG00000104635	0.613548077	Gene
ENSG00000158863	1.310524611	Gene
ENSG00000168453	1.208418754	Gene
ENSG00000168484	1.540822368	Gene
ENSG00000158815	1.445236533	Gene
ENSG00000183718	0.458449244	Gene
ENSG00000145623	1.690325177	Gene
ENSG00000197324	1.087300379	Gene
ENSG00000100813	0.375978887	Gene
ENSG00000133401	0.811091513	Gene
ENSG00000100842	1.272198858	Gene
ENSG00000186648	0.961489596	Gene
ENSG00000092295	2.03339292	Gene
ENSG00000129467	1.382235852	Gene
ENSG00000100445	0.606181953	Gene
ENSG00000136997	1.0505678	Gene
ENSG00000100425	0.416284707	Gene
ENSG00000100403	0.78372182	Gene
ENSG00000100324	0.542957609	Gene
ENSG00000100346	0.759668518	Gene
ENSG00000213923	0.953876655	Gene
ENSG00000100092	0.934378676	Gene
ENSG00000138964	1.091261613	Gene
ENSG00000133466	1.292267602	Gene
ENSG00000100345	0.860950918	Gene
ENSG00000198951	0.752832233	Gene
ENSG00000183066	0.887270709	Gene
ENSG00000079337	0.835368452	Gene
ENSG00000061273	1.427164921	Gene
ENSG00000179583	1.112727238	Gene
ENSG00000213853	0.840024112	Gene
ENSG00000113916	1.197052492	Gene
ENSG00000168096	0.738031236	Gene
ENSG00000102858	1.016984153	Gene
ENSG00000005339	0.640241893	Gene
ENSG00000145014	0.824407315	Gene
ENSG00000189058	0.579411389	Gene
ENSG00000179526	0.948655066	Gene
ENSG00000179632	0.499539932	Gene
ENSG00000185122	1.029842169	Gene
ENSG00000179832	1.1978533	Gene
ENSG00000197858	1.201792254	Gene
ENSG00000178814	1.365103112	Gene
ENSG00000178209	1.149158873	Gene
ENSG00000180900	1.182527469	Gene
ENSG00000147813	1.47015615	Gene
ENSG00000104518	1.634275815	Gene
ENSG00000277494	1.610851538	Gene
ENSG00000158106	0.978020953	Gene
ENSG00000100258	1.098308204	Gene
ENSG00000025708	2.822167931	Gene
ENSG00000100288	1.649790217	Gene
ENSG00000100299	1.004808459	Gene
ENSG00000144134	0.547854088	Gene
ENSG00000251322	0.972863965	Gene
ENSG00000072864	0.678904858	Gene
ENSG00000144857	0.784870186	Gene
ENSG00000080819	0.471193751	Gene
ENSG00000099949	0.670735603	Gene
ENSG00000183773	0.770168909	Gene
ENSG00000099937	2.204155974	Gene
ENSG00000100038	0.801115668	Gene
ENSG00000061938	1.201349057	Gene
ENSG00000180353	1.258344513	Gene
ENSG00000173175	0.953254424	Gene
ENSG00000114859	0.841965459	Gene
ENSG00000073849	0.564278134	Gene
ENSG00000154734	0.992758708	Gene
ENSG00000157538	0.603844163	Gene
ENSG00000142197	0.520946851	Gene
ENSG00000185917	0.458907725	Gene
ENSG00000159212	1.579806093	Gene
ENSG00000159216	1.669625015	Gene
ENSG00000243646	0.926772798	Gene
